username,created_at,text
emptyspaces114,2024-08-29 12:54:43+00:00,@Versace @aespa_official BE FAIR AND RETWEET THIS AT LEAST!
imnot_n_n,2024-08-29 12:46:11+00:00,@Versace Pretty
2_ning9415,2024-08-29 12:35:01+00:00,@Versace NingNing❤️❤️❤️❤️
1023ARCHIVES,2024-08-29 12:23:34+00:00,"@Versace GORGEOUS GIRL ❤️‍🔥❤️‍🔥❤️‍🔥

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
heejinalucina,2024-08-29 12:15:54+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
MillieKerr12,2024-08-29 12:10:10+00:00,@Versace She is everything damn😍
DmmaKpop,2024-08-29 12:05:43+00:00,@Versace 🥰🥰🥰
m02988464,2024-08-29 11:57:08+00:00,@Versace versace princess！！！😍😍😍
lyliww,2024-08-29 11:55:19+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
aespaningningeu,2024-08-29 11:49:13+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
Tiiamo11,2024-08-29 11:24:34+00:00,"@Versace 🦋❤️

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
leasbtacc,2024-08-29 11:21:07+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
sunnyningning,2024-08-29 11:21:06+00:00,"@Versace Versace queen herself 💕

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
leasbtacc,2024-08-29 11:20:32+00:00,"@Versace Hello One Productions, we demand that you do a fair promotion for Ningning, treat her like any other artist. Ningning is still part of the aespa group, so promote her well.

TREAT NINGNING FAIRLY

#SMTREATNINGBETTER
#ONEPRODUCTIONDONTSILENT
@aespa_official @SMTOWNGLOBAL"
rolekosta,2024-08-29 11:14:27+00:00,@Versace @aespa_official @aespaJPofficial in case kalian gak ke tag
xzohkim,2024-08-29 11:10:44+00:00,"@Versace Queen

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
xzfaww,2024-08-29 11:00:07+00:00,"@Versace ♥️

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
aechichan,2024-08-29 11:00:01+00:00,"@Versace Mother NINGNING!!!!!

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
xiaokeainayu,2024-08-29 10:57:56+00:00,@Versace ❤️❤️❤️❤️❤️
xiaokeainayu,2024-08-29 10:57:49+00:00,@Versace 宁宁！
